Date_and_Time,Temperature_2_8
10-01-2023 22:12,7.06
10-01-2023 22:27,7
10-01-2023 22:42,7
10-01-2023 22:57,6.94
10-01-2023 23:12,6.94
10-01-2023 23:27,6.94
10-01-2023 23:42,6.88
10-01-2023 23:57,6.88
10-02-2023 00:12,6.88
10-02-2023 00:27,6.88
10-02-2023 00:42,6.81
10-02-2023 00:57,6.81
10-02-2023 01:12,6.81
10-02-2023 01:27,6.75
10-02-2023 01:42,6.75
10-02-2023 01:57,6.75
10-02-2023 02:12,6.69
10-02-2023 02:27,6.69
10-02-2023 02:42,6.69
10-02-2023 02:57,6.63
10-02-2023 03:12,6.63
10-02-2023 03:27,6.56
10-02-2023 03:42,6.56
10-02-2023 03:57,6.56
10-02-2023 04:12,6.5
