,predicted_mean
74907,-18.308521666642065
74908,-18.308401660865506
74909,-18.308282378888144
74910,-18.30816381634447
74911,-18.30804596889532
74912,-18.307928832227695
74913,-18.307812402054605
74914,-18.30769667411492
74915,-18.30758164417321
74916,-18.3074673080196
74917,-18.307353661469588
74918,-18.30724070036392
74919,-18.307128420568436
74920,-18.307016817973896
74921,-18.306905888495848
74922,-18.306795628074486
74923,-18.306686032674477
74924,-18.306577098284833
74925,-18.306468820918752
74926,-18.306361196613487
74927,-18.306254221430187
74928,-18.306147891453755
74929,-18.306042202792707
74930,-18.30593715157904
74931,-18.30583273396807
74932,-18.305728946138302
74933,-18.305625784291298
74934,-18.30552324465152
74935,-18.30542132346621
74936,-18.30532001700524
74937,-18.305219321560976
74938,-18.305119233448153
74939,-18.305019749003733
74940,-18.30492086458677
74941,-18.304822576578268
74942,-18.304724881381077
74943,-18.304627775419725
74944,-18.30453125514032
74945,-18.30443531701039
74946,-18.30433995751878
74947,-18.304245173175513
74948,-18.304150960511652
74949,-18.304057316079188
74950,-18.303964236450906
74951,-18.303871718220265
74952,-18.303779758001266
74953,-18.30368835242834
74954,-18.303597498156204
74955,-18.303507191859765
74956,-18.303417430233978
74957,-18.303328209993733
74958,-18.303239527873732
74959,-18.30315138062837
74960,-18.303063765031627
74961,-18.302976677876934
74962,-18.302890115977053
74963,-18.302804076163987
74964,-18.302718555288834
74965,-18.302633550221685
74966,-18.302549057851518
74967,-18.30246507508606
74968,-18.302381598851703
74969,-18.302298626093368
74970,-18.302216153774406
74971,-18.30213417887648
74972,-18.30205269839946
74973,-18.301971709361315
74974,-18.301891208797993
74975,-18.30181119376332
74976,-18.301731661328898
74977,-18.30165260858398
74978,-18.301574032635383
74979,-18.301495930607377
74980,-18.30141829964157
74981,-18.301341136896806
74982,-18.301264439549076
74983,-18.301188204791398
74984,-18.301112429833722
74985,-18.30103711190282
74986,-18.300962248242197
74987,-18.300887836111983
74988,-18.300813872788826
74989,-18.30074035556581
74990,-18.30066728175234
74991,-18.300594648674043
74992,-18.300522453672688
74993,-18.300450694106072
74994,-18.300379367347922
74995,-18.300308470787815
74996,-18.30023800183106
74997,-18.300167957898637
74998,-18.30009833642705
74999,-18.300029134868296
75000,-18.29996035068972
75001,-18.299891981373946
75002,-18.299824024418786
75003,-18.29975647733714
75004,-18.299689337656908
75005,-18.299622602920902
75006,-18.299556270686754
75007,-18.299490338526827
75008,-18.299424804028124
75009,-18.299359664792206
75010,-18.299294918435095
75011,-18.299230562587194
75012,-18.299166594893197
75013,-18.299103013012004
75014,-18.299039814616638
75015,-18.298976997394153
75016,-18.298914559045553
75017,-18.29885249728571
75018,-18.298790809843283
75019,-18.298729494460616
75020,-18.298668548893687
75021,-18.298607970912
75022,-18.298547758298504
75023,-18.29848790884954
75024,-18.29842842037472
75025,-18.29836929069688
75026,-18.29831051765198
75027,-18.29825209908904
75028,-18.298194032870043
75029,-18.298136316869872
75030,-18.298078948976233
75031,-18.29802192708956
75032,-18.297965249122964
75033,-18.297908913002132
75034,-18.297852916665267
75035,-18.297797258063003
75036,-18.297741935158346
75037,-18.29768694592657
75038,-18.297632288355178
75039,-18.2975779604438
75040,-18.29752396020413
75041,-18.29747028565987
75042,-18.297416934846623
75043,-18.29736390581185
75044,-18.297311196614785
75045,-18.29725880532637
75046,-18.297206730029178
75047,-18.29715496881735
75048,-18.29710351979652
75049,-18.297052381083752
75050,-18.29700155080746
75051,-18.296951027107355
75052,-18.296900808134357
75053,-18.296850892050546
75054,-18.296801277029086
75055,-18.296751961254156
75056,-18.296702942920895
75057,-18.296654220235318
75058,-18.296605791414265
75059,-18.29655765468533
75060,-18.296509808286803
75061,-18.296462250467584
75062,-18.296414979487153
75063,-18.296367993615476
75064,-18.29632129113296
75065,-18.296274870330375
75066,-18.296228729508805
