Date/Time,vibration (mm/s)
2024-04-02 11:44:00,0.4
2024-04-02 11:45:00,0.4
2024-04-02 11:46:00,0.4
2024-04-02 11:47:00,0.4
2024-04-02 11:48:00,0.4
2024-04-02 11:49:00,0.4
2024-04-02 11:50:00,0.4
2024-04-02 11:51:00,0.4
2024-04-02 11:52:00,0.4
2024-04-02 11:53:00,0.4
2024-04-02 11:54:00,0.4
2024-04-02 11:55:00,0.4
2024-04-02 11:56:00,0.4
2024-04-02 11:57:00,0.4
2024-04-02 11:58:00,0.4
2024-04-02 11:59:00,0.4
2024-04-02 12:00:00,0.4
2024-04-02 12:01:00,0.4
2024-04-02 12:02:00,0.4
2024-04-02 12:03:00,0.4
2024-04-02 12:04:00,0.4
2024-04-02 12:05:00,0.4
2024-04-02 12:06:00,0.4
2024-04-02 12:07:00,0.4
2024-04-02 12:08:00,0.4
2024-04-02 12:09:00,0.4
2024-04-02 12:10:00,0.4
2024-04-02 12:11:00,0.4
2024-04-02 12:12:00,0.4
2024-04-02 12:13:00,0.4
2024-04-02 12:14:00,0.4
2024-04-02 12:15:00,0.4
2024-04-02 12:16:00,0.4
2024-04-02 12:17:00,0.4
2024-04-02 12:18:00,0.4
2024-04-02 12:19:00,0.4
2024-04-02 12:20:00,0.4
2024-04-02 12:21:00,0.4
2024-04-02 12:22:00,0.4
2024-04-02 12:23:00,0.4
2024-04-02 12:24:00,0.4
2024-04-02 12:25:00,0.4
2024-04-02 12:26:00,0.4
2024-04-02 12:27:00,0.4
2024-04-02 19:12:00,0.4
2024-04-02 19:25:00,0.4
2024-04-02 19:26:00,0.4
2024-04-02 19:27:00,0.4
2024-04-02 19:28:00,0.4
2024-04-02 19:29:00,0.3
2024-04-02 19:30:00,0.3
2024-04-02 19:31:00,0.3
2024-04-02 19:32:00,0.3
2024-04-02 19:33:00,0.3
2024-04-02 19:34:00,0.3
2024-04-02 19:35:00,0.3
2024-04-02 19:36:00,0.3
2024-04-02 19:37:00,0.3
2024-04-02 19:38:00,0.4
2024-04-02 19:39:00,0.4
2024-04-02 19:40:00,0.4
2024-04-02 19:41:00,0.4
2024-04-02 19:53:00,4.8
2024-04-02 19:54:00,1.3
2024-04-02 19:55:00,0.4
2024-04-02 19:56:00,0.4
2024-04-02 19:57:00,0.4
2024-04-02 19:58:00,0.4
2024-04-02 19:59:00,0.3
2024-04-02 20:00:00,0.3
2024-04-02 20:01:00,0.3
2024-04-02 20:02:00,0.3
2024-04-03 07:49:00,0.3
2024-04-03 07:50:00,0.3
2024-04-03 07:51:00,0.4
2024-04-03 07:52:00,0.4
2024-04-03 07:53:00,0.3
2024-04-03 07:54:00,0.3
2024-04-03 07:55:00,0.3
2024-04-03 07:56:00,0.3
2024-04-03 07:57:00,0.3
2024-04-03 07:58:00,0.3
2024-04-03 08:01:00,0.3
2024-04-03 08:02:00,0.4
2024-04-03 08:16:00,0.4
2024-04-03 08:17:00,0.4
2024-04-03 08:18:00,0.4
2024-04-03 08:19:00,0.4
2024-04-03 08:20:00,0.3
2024-04-03 08:21:00,0.3
2024-04-03 08:22:00,0.3
2024-04-03 08:23:00,0.3
2024-04-03 08:24:00,0.3
2024-04-03 08:25:00,0.3
2024-04-03 08:26:00,0.3
2024-04-03 08:27:00,0.3
2024-04-03 08:28:00,0.3
2024-04-03 08:29:00,0.3
2024-04-03 08:30:00,0.3
2024-04-03 08:31:00,0.3
2024-04-03 08:32:00,0.4
2024-04-03 08:45:00,0.4
2024-04-03 08:46:00,0.4
2024-04-03 08:47:00,0.4
2024-04-03 08:48:00,0.4
2024-04-03 08:49:00,0.3
2024-04-03 08:50:00,0.3
2024-04-03 08:51:00,0.3
2024-04-03 08:52:00,0.3
2024-04-03 08:53:00,0.3
